IPEDS_ID,Year,NCAA_Subdivision,FBS_Conference,Total_Expenses,Excess_Transfers_Back,Other_Expenses,Medical,Competition_Guarantees,Recruiting,Game_Expenses_and_Travel,Facilities_and_Equipment,Coaches_Compensation,Support_and_Admin_Compensation_w_Severance,Athletic_Student_Aid,Total_Revenues,Other_Revenue,Corporate_Sponsorship__Advertising__Licensing,Donor_Contributions,Competition_Guarantees.1,NCAA_Conference_Distributions__Media_Rights__and_Post_Season_Football,Ticket_Sales,Institutional_Government_Support,Student_Fees,Total_Academic_Spending__University_Wide_,Total_Football_Spending,Total_Football_Coaching_Salaries,Athletics_Related_Debt,Annual_Debt_Service__Leases_and_Rental_Fees_on_Athletic_Facilities
134097,2017,Football Bowl Subdivision,Atlantic Coast Conference,156551818.0,13178557.0,36619724.0,2212762.0,1777808.0,3292265.0,18810911.0,27120398.0,21939295.0,20267836.0,11332262.0,144514413.0,23189346.0,8563679.0,41504734.0,3625600.0,35138564.0,25046047.0,0.0,7446443.0,938285315.0,49787657.0,10621640.0,166765000.0,13274847.0
139755,2017,Football Bowl Subdivision,Atlantic Coast Conference,84852123.0,0.0,3672872.0,1030544.0,1879986.0,1406651.0,10172178.0,28249186.0,14654114.0,13098483.0,10688109.0,81762024.0,15925355.0,5778306.0,11187993.0,326000.0,29136519.0,11756425.0,2264352.0,5387074.0,1454535740.0,22366948.0,7170531.0,226134879.0,13414115.0
139931,2017,Football Bowl Subdivision,Sun Belt Conference,28761605.0,0.0,2730192.0,372418.0,275000.0,351246.0,2802111.0,6472786.0,4922798.0,3988303.0,6846751.0,28895052.0,681046.0,1147101.0,4019592.0,2120000.0,2504009.0,1675627.0,7409267.0,9338410.0,270376324.0,6643743.0,2321830.0,23662973.0,1741580.0
139940,2017,Football Bowl Subdivision,Sun Belt Conference,29859420.0,0.0,4092349.0,268391.0,510274.0,451977.0,3106244.0,3474252.0,5949727.0,4590361.0,7415845.0,30230203.0,206385.0,445630.0,879632.0,1509083.0,3970344.0,795640.0,3158334.0,19265155.0,642483694.0,7951547.0,2365661.0,0.0,0.0
151351,2017,Football Bowl Subdivision,Big Ten Conference,106131819.0,0.0,10738470.0,1731179.0,4286983.0,1780015.0,10757512.0,20276950.0,18695723.0,21998606.0,15866381.0,106139192.0,8153740.0,10594357.0,23103658.0,927534.0,42701549.0,18089310.0,2569044.0,0.0,1231669547.0,26003418.0,6618842.0,118230000.0,6863227.0
153603,2017,Football Bowl Subdivision,Big 12 Conference,82565176.0,0.0,11656728.0,738255.0,1884782.0,1836643.0,7638612.0,23819392.0,13472170.0,12649649.0,8868945.0,82659447.0,5792770.0,2320161.0,17551225.0,187249.0,40414631.0,14260192.0,0.0,2133219.0,974019240.0,20352821.0,5591140.0,87571532.0,10066085.0
155399,2017,Football Bowl Subdivision,Big 12 Conference,73970354.0,0.0,10363471.0,1033033.0,2124406.0,1356416.0,10037971.0,12121411.0,15480003.0,12829000.0,8624643.0,86081528.0,4729485.0,2318512.0,22154333.0,26477.0,41128657.0,15274064.0,0.0,450000.0,684160400.0,19920373.0,7260004.0,72186979.0,5795504.0
203517,2017,Football Bowl Subdivision,Mid-American Conference,29504048.0,0.0,3364888.0,274362.0,944785.0,471844.0,3633485.0,2854650.0,6240237.0,4897363.0,6822434.0,28837710.0,1181712.0,721697.0,1389618.0,2300818.0,3670825.0,915201.0,3989665.0,14668174.0,506194910.0,6309368.0,1600748.0,0.0,0.0
159391,2017,Football Bowl Subdivision,Southeastern Conference,139139017.0,7421596.0,21370126.0,962268.0,3782794.0,1875822.0,14615725.0,28813867.0,25370481.0,19261253.0,15665085.0,147744233.0,9870943.0,3299132.0,36973785.0,2264500.0,53480837.0,41855036.0,0.0,0.0,931720932.0,30086567.0,11842483.0,255413311.0,15329531.0
159647,2017,Football Bowl Subdivision,Conference USA,23828481.0,0.0,1426589.0,385289.0,1082583.0,335854.0,2987286.0,4108385.0,4675036.0,2163860.0,6663599.0,24722695.0,231033.0,223841.0,5992599.0,1949500.0,3976892.0,1661800.0,10687030.0,0.0,131349413.0,8075697.0,2016625.0,8360000.0,604384.0
